t,theta,omega,x,y
0.0000000000,0.0924925571,-0.5542835463,0.0923607365,-0.9957256120
0.0000000000,0.0919378215,-0.5551868965,0.0918083578,-0.9957766946
0.0000000000,0.0913821852,-0.5560848233,0.0912550540,-0.9958275529
0.0000000000,0.0908256536,-0.5569773177,0.0907008305,-0.9958781850
0.0000000000,0.0902682323,-0.5578643706,0.0901456927,-0.9959285889
0.0000000000,0.0897099267,-0.5587459732,0.0895896461,-0.9959787625
0.0000000000,0.0891507422,-0.5596221165,0.0890326963,-0.9960287039
0.0000000000,0.0885906843,-0.5604927917,0.0884748486,-0.9960784112
0.0000000000,0.0880297585,-0.5613579901,0.0879161086,-0.9961278823
0.0000000000,0.0874679702,-0.5622177029,0.0873564817,-0.9961771153
0.0000000000,0.0869053249,-0.5630719214,0.0867959736,-0.9962261084
0.0000000000,0.0863418281,-0.5639206370,0.0862345897,-0.9962748594
0.0000000000,0.0857774854,-0.5647638412,0.0856723355,-0.9963233666
0.0000000000,0.0852123023,-0.5656015254,0.0851092167,-0.9963716281
0.0000000000,0.0846462842,-0.5664336812,0.0845452388,-0.9964196418
0.0000000000,0.0840794368,-0.5672603002,0.0839804073,-0.9964674060
0.0000000000,0.0835117655,-0.5680813741,0.0834147278,-0.9965149187
0.0000000000,0.0829432759,-0.5688968944,0.0828482060,-0.9965621781
0.0000000000,0.0823739735,-0.5697068531,0.0822808474,-0.9966091822
0.0000000000,0.0818038640,-0.5705112419,0.0817126577,-0.9966559294
0.0000000000,0.0812329529,-0.5713100528,0.0811436425,-0.9967024176
0.0000000000,0.0806612458,-0.5721032775,0.0805738074,-0.9967486451
0.0000000000,0.0800887482,-0.5728909082,0.0800031580,-0.9967946101
0.0000000000,0.0795154658,-0.5736729368,0.0794317001,-0.9968403107
0.0000000000,0.0789414042,-0.5744493555,0.0788594393,-0.9968857451
0.0000000000,0.0783665690,-0.5752201564,0.0782863813,-0.9969309116
